shopid,is_shopee_verified,is_preferred_plus_seller,is_official_shop,item_count,rating_star,follower_count,show_official_shop_label,rating_bad,rating_good,rating_normal
0,False,False,True,705,4.906784,1501153,True,15426,1690563,24829
1,True,True,False,256,4.908583,39853,False,114,16090,210
2,True,True,False,26,4.913462,27377,False,10,2244,30
3,True,False,False,1189,4.88444,201194,False,2199,279050,5427
4,True,False,False,285,4.573587,3003,False,100,1433,89
5,True,False,False,1192,4.848405,13925,False,538,33298,816
6,False,False,False,339,4.714211,1664,False,70,1940,82
7,True,True,False,265,4.95709,135638,False,98,54204,238
448,False,False,True,103,4.933254,285076,True,241,46780,446
8,False,False,False,184,4.664817,11512,False,322,7140,385
9,False,False,False,133,4.95484,27548,False,61,20024,138
10,False,False,False,328,4.705882,1959,False,86,2105,92
242,True,True,False,221,4.948268,182260,False,317,144350,1305
11,True,False,False,5190,4.954749,608925,False,1627,568405,4081
12,False,False,False,579,4.8331,8057,False,666,37361,1001
13,False,False,False,659,4.896936,4467,False,18,1811,28
14,False,False,False,294,4.922358,16984,False,42,6690,97
15,False,False,False,20,5.0,23,False,0,78,0
16,True,False,False,367,4.861644,83049,False,1394,94943,2019
17,True,False,False,44,4.989302,7670,False,2,3885,4
18,True,False,False,480,4.610008,8470,False,248,5855,426
19,True,False,False,177,4.929591,8652,False,46,7618,81
20,True,True,False,387,4.930161,56128,False,464,92520,1096
21,True,False,False,1102,4.96172,223556,False,304,147767,905
22,False,False,True,244,4.930638,536092,True,3364,616033,6645
23,True,False,False,56,4.884793,765,False,6,428,7
24,True,False,False,1261,4.712752,44395,False,8704,230563,10202
25,False,False,False,1102,4.960982,312809,False,658,261932,1664
26,True,False,False,576,4.960026,160638,False,164,72752,479
27,True,False,False,243,4.937897,65898,False,29,7650,75
28,True,False,False,653,4.92668,77154,False,121,25872,312
29,True,True,False,561,4.898071,11695,False,174,16058,247
30,False,False,False,2,5.0,2005,False,0,81,0
31,True,True,False,570,4.962979,563914,False,1085,627475,3490
32,True,False,False,443,4.902744,5924,False,144,19737,313
33,False,False,False,1185,4.854981,126531,False,3219,227093,4743
34,False,False,False,1064,4.894065,370697,False,7920,861264,13270
35,True,False,False,21,4.891631,3181,False,39,4221,85
36,True,False,False,867,4.864646,19202,False,1051,80112,1712
37,False,False,False,556,4.857509,26911,False,1122,64993,1121
38,False,False,False,145,4.846715,239,False,6,141,1
39,False,False,False,320,4.816388,6407,False,322,15697,425
40,True,True,False,1065,4.945473,6124,False,16,6315,83
41,False,False,True,105,4.933297,205099,True,164,36601,408
42,True,True,False,36,4.891035,116011,False,798,102877,1995
43,False,False,False,100,4.800255,61300,False,38,1556,46
44,False,False,False,9,4.335752,2093,False,277,1816,87
45,False,False,True,187,4.926489,1691046,True,5321,868577,10239
46,True,False,False,2195,4.947644,675577,False,727,255997,2245
47,True,True,False,29,4.925212,38496,False,4,1988,19
48,False,False,False,36,4.807692,286,False,4,174,5
49,False,False,False,635,4.861813,52252,False,1051,75224,1365
50,False,False,False,584,4.819289,7815,False,319,14249,382
51,True,True,False,234,4.977002,373139,False,291,235914,799
52,True,False,False,3205,4.942556,43906,False,205,54198,538
53,True,False,False,256,4.959929,35951,False,105,54979,342
54,True,False,False,19,4.93883,67247,False,7,1420,8
55,False,False,True,45,4.881542,76110,True,190,17154,307
56,True,True,False,264,4.963184,6865,False,26,16562,80
57,True,True,False,995,4.941063,28922,False,228,54117,502
58,False,False,False,1002,4.923003,72943,False,377,63728,819
59,True,False,False,531,4.642168,12829,False,465,10836,693
60,True,True,False,1288,4.948536,285592,False,677,221229,1874
61,False,False,True,166,4.93909,29065,True,177,56987,653
62,False,False,False,24,4.525597,658,False,18,355,21
63,True,False,False,358,4.895993,46542,False,365,46698,768
64,True,True,False,76,4.969323,14887,False,5,3184,13
65,False,False,False,1119,4.855428,5220,False,301,18953,386
66,False,False,False,357,4.813596,12455,False,218,11471,398
67,False,False,False,31,4.612403,13002,False,5,117,9
68,False,False,True,69,4.933351,192657,True,366,61473,627
69,False,False,False,1742,4.917293,7069,False,151,20113,253
70,False,False,False,338,4.757975,5975,False,364,11152,372
71,True,False,False,219,4.93848,232196,False,539,155192,1552
72,True,True,False,377,4.956775,102772,False,146,69707,469
73,False,False,True,166,4.93811,1517359,True,1391,337979,3429
